LichessPuzzleId,FEN,Rating,PreLastMovePositionEvaluation,LastMove,CurrentPositionEvaluation,EvaluatedMoves
QHVXV,5r1k/ppb5/2p5/3p2q1/3P1pB1/P6P/1PQ2P1K/4R3 b - - 0 30,1443,+38,f3g4 -442,+442,"f4f3 +442,f8f7 0,h8g7 -3,f8f6 -4,g5h4 -6,c7d6 -7,g5h6 -7,f8g8 -8,g5g8 -9,a7a5 -9,g5f6 -11,a7a6 -16,f8a8 -20,f8c8 -20,f8d8 -20,f8b8 -21,h8g8 -31,g5g7 -33,c7b8 -34,g5d8 -123,c6c5 -191,b7b6 -320,b7b5 -360,c7d8 -492,c7b6 -516,g5f5 -541,f8f5 -543,c7a5 -569,g5g4 -619,f8e8 -732,c7e5 -856,g5e5 #-17,g5h5 #-8,g5g6 #-6,g5e7 #-4"
QHXzA,4rrk1/pp2Rppp/8/2p5/3p4/P4b1P/BPP2P2/R4K2 w - - 2 20,1244,+253,a8e8 -283,+283,"a2f7 +283,a1e1 -216,e7c7 -318,e7d7 -351,e7e8 -413,e7e1 -414,a2d5 -555,e7f7 -567,e7b7 -572,e7e6 -601,e7e3 -611,a2c4 -618,f1g1 -620,b2b4 -620,h3h4 -622,a3a4 -626,a2b3 -627,e7e4 -635,a1b1 -635,a1c1 -637,a2e6 -637,e7e2 -643,c2c3 -646,a1d1 -646,b2b3 -648,a2b1 -663,c2c4 -669,f1e1 -675,e7e5 -676"
QHVwi,1r6/7k/1p5p/pP2Np2/P2Rp3/2n1P1P1/5P1P/6K1 b - - 4 35,679,+485,d6d4 -243,+243,"c3e2 +243,b8e8 -125,b8b7 -349,b8c8 -350,h6h5 -371,h7g7 -393,h7g8 -407,b8h8 -421,h7h8 -426,b8g8 -428,b8f8 -433,b8a8 -441,f5f4 -453,c3b1 -457,c3a2 -462,c3a4 -466,c3b5 -488,c3d1 -586,c3d5 -590,b8d8 -592"
QHUVf,r2k1br1/ppp1pQ2/2n2n1p/3pB1p1/3P2q1/2P1P3/PP3PPP/RN2K2R w KQ - 5 13,2030,+191,d7g4 -320,+320,"e5f6 +320,b1d2 -132,a2a4 -148,e1g1 -162,b2b4 -164,a2a3 -167,c3c4 -177,b2b3 -178,b1a3 -203,h2h3 -230,h1f1 -236,h1g1 -261,e1d2 -276,h2h4 -302,f2f3 -369,g2g3 -384,f2f4 -424,e5g3 -449,e3e4 -497,f7g8 -511,e5d6 -551,f7f6 -570,f7f8 -588,e5c7 -591,e5f4 -594,f7d5 -611,f7e7 -666,f7h5 -673,f7h7 -673,f7e8 -677,f7g6 -682,f7g7 -689,f7e6 -693,e1f1 #-1"
QHXZL,2k1r3/1pb3R1/p1p5/2P5/1P1B3p/2N2rpP/1P2p1P1/4R1K1 b - - 3 38,2214,+483,a1e1 -335,+335,"f3f1 +335,f3d3 0,f3f4 -318,f3c3 -391,f3f8 -392,f3f5 -399,c7e5 -449,f3e3 -542,f3f2 -543,e8e4 -551,e8d8 -598,a6a5 -618,c8b8 -634,f3f6 -647,b7b6 -657,c7a5 -662,e8e7 -669,c7f4 -683,f3f7 -685,e8f8 -690,c7d8 -702,e8e3 -705,e8h8 -711,c7b8 -722,c7b6 -726,b7b5 -726,e8e5 -739,e8e6 -740,c8d8 -742,c7d6 -853,e8g8 #-10"
QHZ7y,2r2rk1/1b2bp2/2q1N1P1/3pP3/1p1P4/1p4Q1/1PP2P2/2KR2R1 w - - 0 28,1648,-289,a4b3 #-2,#+2,"g6f7 #+2,e6c5 -78,d1d2 -312,c2c3 -409,g3b3 -497,g3d3 -683,g3c3 -875,c2c4 -1068,c1d2 -1068,c1b1 #-2,f2f3 #-1,g6g7 #-1,f2f4 #-1,e6f4 #-1,e6g5 #-1,e6c7 #-1,e6g7 #-1,e6d8 #-1,e6f8 #-1,d1e1 #-1,d1f1 #-1,d1d3 #-1,g1e1 #-1,g1f1 #-1,g1h1 #-1,g1g2 #-1,g3g2 #-1,g3h2 #-1,g3e3 #-1,g3f3 #-1,g3h3 #-1,g3f4 #-1,g3g4 #-1,g3h4 #-1,g3g5 #-1"
QHZNX,6k1/3N3p/p3p1p1/1pRb2Q1/3Pp1P1/1P3r1P/q4PK1/8 w - - 0 31,2475,+562,a5a2 -396,+396,"d7f6 +396,c5c8 -559,g5d8 -617,g2h1 -777,g5e3 #-24,c5c2 #-12,g5h4 #-12,g5g6 #-9,g5d2 #-7,g5h6 #-4,g5h5 #-4,c5c3 #-4,g5f4 #-3,g5e5 #-3,h3h4 #-2,b3b4 #-2,d7e5 #-2,d7b6 #-2,d7b8 #-2,d7f8 #-2,c5c1 #-2,c5c4 #-2,c5b5 #-2,c5d5 #-2,c5c6 #-2,c5c7 #-2,g5c1 #-2,g5d5 #-2,g5f5 #-2,g5f6 #-2,g5e7 #-2,g2g1 #-2,g2h2 #-2,g2f1 #-1"
QHYAp,r2qr1k1/p1p2pb1/1p1p3p/3PpPp1/2PNQ3/4B2P/PP3PP1/R4R1K b - - 0 22,887,+84,f3d4 -411,+411,"e5d4 +411,c7c5 -515,a8b8 -522,d8d7 -527,g5g4 -531,d8b8 -536,a7a6 -539,b6b5 -541,h6h5 -542,g8f8 -542,f7f6 -543,d8e7 -543,a7a5 -543,a8c8 -545,e8e7 -546,g7f8 -548,d8f6 -549,g7f6 -550,g7h8 -550,e8f8 -550,d8c8 -551,g8h7 -561,g8h8 -567,c7c6 -573,e8e6 -646"
QHVr9,r4rk1/p2Nbqpp/3n4/4Q3/2p5/8/PPP3PP/R1B1R1K1 b - - 0 21,1132,-374,c5d7 #-3,#+3,"f7f2 #+3,e7h4 +8,a8e8 +6,f8e8 -141,d6e4 -219,f8d8 -220,e7f6 -241,d6f5 -320,c4c3 -362,a8b8 -385,h7h6 -398,a8d8 -401,h7h5 -402,a8c8 -412,a7a5 -414,a7a6 -414,f7f5 -415,d6b7 -430,g7g6 -432,d6b5 -435,d6e8 -440,g8h8 -444,f8c8 -448,e7d8 -481,d6c8 -484,e7g5 -485,f8b8 -503,f7e8 -514,f7g6 -522,g7g5 -524,f7f6 -592,f7h5 -666,f7f3 -708,f7e6 -738,f7f4 -803,f7f1 -814,f7d5 #-16"
QHXEm,6k1/1b1p1pp1/p4q1p/3P4/2P5/4BQP1/P2R1K1P/r7 b - - 11 32,1040,0,e2f3 -602,+602,"a1f1 +602,f6g6 +8,f6c3 0,f6d8 -25,f6d6 -66,f6e5 -69,f6f3 -107,f6e7 -140,a6a5 -227,a1h1 -265,a1b1 -312,b7a8 -420,g8h7 -439,a1a2 -453,h6h5 -471,b7c8 -500,a1d1 -500,b7d5 -506,a1c1 -514,g8f8 -516,d7d6 -519,g8h8 -520,b7c6 -554,a1g1 -637,a1e1 -652,f6c6 -729,f6e6 -775,f6f4 -874,f6g5 -910,f6f5 -921,f6h4 -998,f6b6 #-14,f6b2 #-13,f6d4 #-8,g7g5 #-5,g7g6 #-5"
QHVhO,2rq1rk1/pp2ppbp/4b3/1P4Np/P1pP4/2B1P3/3NBPP1/n2QK3 w - - 0 18,2255,+298,b3a1 -233,+233,"d1b1 +233,d1a1 -308,f2f4 -336,g5e6 -336,d2f3 -348,e1f1 -386,b5b6 -393,e2f3 -397,e2f1 -406,d2e4 -423,c3a1 -429,e2h5 -434,d2f1 -452,g5e4 -456,a4a5 -458,g2g3 -460,f2f3 -466,g5h3 -478,g5h7 -481,g2g4 -494,g5f7 -506,d1c1 -506,d2b1 -507,g5f3 -511,d2c4 -520,c3b4 -533,e2c4 -536,e3e4 -537,c3b2 -560,e2g4 -570,d2b3 -572,e2d3 -616,c3a5 -618,d4d5 -664,d1c2 -817,d1b3 -882"
QHVoC,2k5/ppp5/3rnQ1n/6p1/3PP2q/2P1B3/PP4BP/R5K1 b - - 0 20,1859,+377,f3f6 -308,+308,"h6g4 +308,e6f4 -160,a7a5 -383,a7a6 -393,h4h5 -398,d6b6 -403,e6d4 -426,c8b8 -427,b7b5 -428,b7b6 -428,h6g8 -450,d6a6 -461,c8d7 -466,h4h2 -468,c7c5 -471,c7c6 -476,d6c6 -476,e6d8 -478,e6g7 -513,e6c5 -553,d6d7 -554,h4g4 -557,e6f8 -563,h6f7 -573,d6d8 -586,h6f5 -679,h4f4 -708,h4f2 -727,h4g3 -792,h4e4 -802,h4e1 -816,g5g4 -850,h4h3 -897,d6d5 #-22,d6d4 #-9"
QHYE7,r1q2rk1/pppnbppp/4Bnb1/8/3P3N/1QN1P3/PP1B1PPP/2R1K2R b K - 0 11,2152,+71,c4e6 -213,+213,"f7e6 +213,c8d8 -178,g6d3 -203,d7c5 -210,c7c5 -220,c8e8 -228,c7c6 -230,c8b8 -230,a7a5 -232,g6e4 -242,a7a6 -250,e7d8 -258,e7d6 -261,g6h5 -263,a8b8 -264,b7b6 -280,f6e8 -309,b7b5 -311,g8h8 -350,g6c2 -376,g6b1 -376,f6h5 -415,f8d8 -450,f8e8 -451,f6e4 -453,e7b4 -462,e7c5 -463,e7a3 -489,d7e5 -530,d7b6 -535,h7h6 -560,h7h5 -561,g6f5 -563,f6d5 -567,f6g4 -568,d7b8 -574"
QHZD3,8/p6R/8/5k2/8/2Bn1P2/PPr3PP/6K1 b - - 0 29,813,+476,g7h7 #-2,#+2,"c2c1 #+2,f5g6 -167,d3c1 -489,a7a5 -513,f5f4 -514,f5e6 -524,f5g5 -526,a7a6 -531,c2b2 -538,c2e2 -538,c2c3 -539,d3f2 -547,c2f2 -548,d3b2 -557,d3b4 -564,d3f4 -579,d3e1 -583,d3e5 -619,d3c5 -637,c2d2 -669,c2g2 -730"
QHXit,3r4/pp4kp/4Qp1p/8/1b2N3/6BP/Pq3PP1/6K1 w - - 0 32,2050,0,d4b2 -278,+278,"e4f6 +278,a2a3 0,e6g4 -46,g1h2 -69,e6f5 -77,g1h1 -92,a2a4 -92,g3f4 -105,h3h4 -126,e4d6 -213,f2f3 -265,f2f4 -273,g3h4 -480,g3b8 -498,e4c3 -508,e6c4 -512,g3d6 -513,e6b3 -525,e4d2 -526,e4c5 -526,g3c7 -541,e4g5 -557,g3e5 -573,e6f6 -576,e6d6 -690,e6b6 -792,e6e5 -805,e6c6 -822,e6a6 -853,e6e8 -875,e6g8 -883,e6c8 -897,e6d5 -943,e6e7 #-21,e6d7 #-19,e6f7 #-17,g3h2 #-1,g1f1 #-1"
QHamK,1r1qr1k1/2p2R2/3p2bp/p1p1b2N/6QP/6R1/PPPB2PK/8 b - - 0 30,1410,+136,f1f7 -341,+341,"e5g3 +341,g8f7 0,d8h4 -513,e8e6 -710,d8g5 -904,g8h8 #-8,d8f6 #-6,e5g7 #-4,e5f4 #-2,a5a4 #-2,c5c4 #-2,d6d5 #-2,c7c6 #-2,e5b2 #-2,e5c3 #-2,e5d4 #-2,e5f6 #-2,e5h8 #-2,d8c8 #-2,d8e7 #-2,d8d7 #-2,b8b2 #-2,b8b3 #-2,b8b4 #-2,b8b5 #-2,b8b6 #-2,b8b7 #-2,b8a8 #-2,b8c8 #-2,e8e7 #-2,e8f8 #-2"
QHYVr,r1k3q1/pp6/2b2Q2/6n1/8/1PN1P3/P1P1NPPP/R4RK1 b - - 0 25,1397,+573,d6f6 #-2,#+2,"g5h3 #+2,g5f3 -494,c6g2 -658,c8c7 -685,a7a6 -690,a7a5 -708,g5h7 -721,c8b8 -725,g5f7 -741,g8d8 -742,g5e6 -748,a8b8 -761,c6d7 -762,g5e4 -765,c8d7 -774,c6e4 -785,g8h7 -789,c6f3 -791,g8e8 -800,c6e8 -801,g8f7 -838,g8e6 -839,c6a4 -886,b7b6 -942,c6d5 -987,g8g6 -1023,g8h8 -1024,g8f8 -1032,c6b5 #-36,g8g7 #-30,b7b5 #-30,g8d5 #-15,g8b3 #-12,g8c4 #-11"
QHYya,8/3k3p/p4b2/4p3/1PNp4/P1nP2P1/5P1P/2B3K1 b - - 2 33,734,+328,a5c4 -264,+264,"c3e2 +264,e5e4 -209,d7c6 -234,a6a5 -264,h7h5 -293,c3a2 -311,f6g7 -313,d7e6 -332,f6h8 -333,d7e7 -343,d7c7 -343,c3d5 -369,f6d8 -370,f6e7 -377,c3b1 -379,d7c8 -379,c3d1 -390,d7d8 -390,c3b5 -396,d7e8 -398,c3a4 -398,h7h6 -442,f6h4 -469,f6g5 -515,c3e4 -586"
QHadQ,8/6p1/p2kpq1p/3p4/2pP2P1/P1P2Q1P/1P4K1/8 b - - 4 32,2910,0,e2f3 -351,+351,"f6f3 +351,d6e7 +27,d6d7 +14,a6a5 +7,d6c6 0,f6e7 0,f6g5 0,f6d8 0,e6e5 0,d6c7 0,f6g6 0,f6h4 0,h6h5 -8,f6e5 -886,f6d4 -902,f6f5 #-30,f6f4 #-29,f6f7 #-26,g7g6 #-22,g7g5 #-19,f6f8 #-17"
QHUfZ,2rqrk2/1b3p1Q/p1np1b2/1pp1p1N1/4P3/P1PP3P/1P2BPP1/R3K2R w KQ - 2 19,1040,#-1,g8f8 #-1,#+1,"h7f7 #+1,e2h5 +195,h7h6 +27,g5f7 -38,f2f4 -84,g5f3 -189,h3h4 -269,g2g3 -306,e2g4 -328,a3a4 -360,h7h5 -368,h1g1 -370,g2g4 -371,h7f5 -384,e2f1 -386,a1d1 -400,e2d1 -402,d3d4 -405,h1f1 -408,e1f1 -408,e2f3 -415,h1h2 -415,e1d1 -426,a1c1 -433,a1b1 -438,e1g1 -438,b2b4 -439,e1c1 -443,h7h4 -444,b2b3 -447,c3c4 -458,a1a2 -462,g5e6 -467,e1d2 -469,f2f3 -481,h7h8 -608,h7g8 -618,h7g7 -633,h7g6 -641"
QHX4r,r1b2rk1/pp1p1ppp/4p3/4q3/2PN4/P1n5/2QBBPPP/R3K2R b KQ - 1 14,1628,+319,f1e2 -371,+371,"c3e2 +371,c3e4 -318,c3a4 -378,c3d5 -439,e5d4 -444,c3b1 -450,c3b5 -474,c3a2 -482,c3d1 -490,e5f6 -534,d7d6 -534,e5e4 -535,d7d5 -535,a8b8 -535,b7b5 -535,b7b6 -537,e5e2 -538,f8e8 -545,h7h6 -547,e5c7 -549,f8d8 -550,a7a5 -553,e5c5 -556,f7f6 -557,e5d6 -558,f7f5 -559,h7h5 -560,a7a6 -560,e5b8 -561,e5a5 -565,g7g6 -567,g8h8 -575,g7g5 -578,e5d5 -646,e5f4 -663,e5f5 -668,e5b5 -671,e5g5 -680,e5e3 -683,e5h5 -783,e5g3 -807,e5h2 -871"
QHbIf,8/5p2/6p1/4Pk1p/n4P1P/1r4P1/1p1R1K2/1R6 b - - 9 54,2333,0,d6d2 -528,+528,"a4c3 +528,f5g4 +14,a4c5 +5,g6g5 +1,f5e4 0,b3b8 0,b3b6 0,b3b7 0,b3b4 0,f5e6 0,b3b5 0,f7f6 0,b3a3 0,b3c3 -1,a4b6 -473,b3g3 -590,b3d3 -600,b3f3 -637,b3e3 -663"
QHX1e,3r1rk1/1pq3pp/p2b4/3nN3/8/8/PPPQ1PPP/3RR1K1 w - - 0 19,2357,-85,f6d5 -390,+390,"d2d5 +390,e5f3 -420,d2g5 -423,e5g4 -430,e5d3 -454,d2e2 -462,c2c4 -473,e5c4 -475,e5g6 -496,d2d4 -510,g2g3 -514,e5d7 -526,d2d3 -526,g1f1 -528,g1h1 -528,a2a4 -536,h2h4 -536,c2c3 -537,f2f4 -537,e5f7 -539,e1f1 -544,h2h3 -546,e5c6 -549,d2c1 -553,e1e4 -553,a2a3 -562,d1b1 -572,e1e2 -572,d1c1 -577,b2b3 -579,d1a1 -579,g2g4 -592,f2f3 -592,b2b4 -593,e1e3 -614,d2h6 -685,d2a5 -708,d2c3 -716,d2b4 -803,d2e3 -1001,d2f4 #-22"
QHb65,3b4/p4pk1/1p6/2p2Pp1/2P3P1/1P2B3/P1K5/8 w - - 0 32,1658,-23,h6g5 -354,+354,"c2d3 +354,e3f2 +9,e3g1 +9,e3d2 +9,c2c3 +9,e3c1 +9,c2c1 +9,c2b2 +9,c2d2 +9,c2d1 +9,c2b1 +8,a2a4 +5,a2a3 0,b3b4 0,e3c5 -297,f5f6 -433,e3g5 -511,e3d4 -535,e3f4 -571"
QHXFC,2r2rk1/pb2qpp1/1p1p1n1p/n1p5/2PP3B/Q3P3/P3BPPP/2RR1NK1 b - - 0 17,1596,+14,c3d4 -278,+278,"e7e4 +278,c5d4 -69,g7g5 -112,b7e4 -141,c8d8 -150,c8c7 -151,c8e8 -155,b7a6 -166,c8b8 -167,c8a8 -168,b7c6 -179,g7g6 -183,g8h8 -192,a5c6 -194,f8e8 -197,d6d5 -200,f8d8 -201,c8c6 -203,b7a8 -212,e7d8 -212,a7a6 -229,e7e6 -271,g8h7 -292,h6h5 -313,b7g2 -337,e7e8 -340,e7d7 -350,e7c7 -364,a5c4 -382,b6b5 -440,a5b3 -452,b7d5 -492,b7f3 -501,f6d5 -516,e7e3 -607,f6e4 -614,f6d7 -630,f6h7 -644,e7e5 -654,f6h5 -662,f6e8 -673,f6g4 -676"
QHZw3,2r3k1/1q3pp1/p3b2p/1p6/8/1P3QP1/P2R1PKP/3R4 b - - 3 28,1430,+264,d3f3 -665,+665,"e6h3 +665,b7f3 -253,b7e7 -297,b7c7 -331,c8b8 -345,b7b6 -348,c8c7 -348,b7b8 -348,c8c6 -372,b7a7 -405,b7c6 -405,b7a8 -512,e6d5 -548,e6d7 -579,b7d5 #-30,c8f8 #-29,g7g5 #-28,b7d7 #-28,c8c5 #-28,g8h7 #-28,h6h5 #-25,a6a5 #-24,g7g6 #-22,e6f5 #-22,e6g4 #-21,b5b4 #-20,c8c3 #-20,c8c2 #-20,g8h8 #-20,c8c1 #-20,c8c4 #-20,c8e8 #-18,g8f8 #-16,c8a8 #-13,f7f5 #-13,f7f6 #-11,e6b3 #-10,e6c4 #-9,c8d8 #-9,b7e4 #-7"
QHYWs,r3r1k1/1p4pp/2p3b1/p7/1B1PpQ2/2Pq3P/P4RP1/5RK1 w - - 0 26,860,+125,a7a5 #-3,#+3,"f4f8 #+3,b4d6 -41,b4a5 -95,b4c5 -123,b4e7 -143,b4a3 -177,b4f8 -182,f2d2 -311,a2a3 -529,d4d5 -531,f1e1 -532,f4d6 -539,a2a4 -539,h3h4 -558,g2g4 -558,g1h2 -559,g2g3 -560,g1h1 -564,f4c1 -565,f4d2 -568,f4g4 -568,f4h4 -571,f4g5 -571,c3c4 -573,f1c1 -573,f2b2 -585,f2c2 -590,f4c7 -592,f4h2 -594,f1a1 -594,f2e2 -607,f2f3 -618,f4e4 -622,f4e5 -622,f1b1 -633,f1d1 -637,f4f6 -696,f4h6 -719,f4f7 -739,f4f5 -746,f4f3 -747,f4e3 -749,f4b8 -750,f4g3 -766"
QHYkp,3rr2k/pp4pp/n2Bqp2/2P2b2/8/P1P3Q1/3RBPPP/5RK1 b - - 6 22,2482,-3,e1g1 -303,+303,"a6c5 +303,e6c8 -143,a6b8 -258,e6d7 -288,b7b5 -293,f5e4 -324,e6f7 -327,e6b3 -332,h7h6 -334,e6g8 -336,h8g8 -342,g7g6 -344,g7g5 -350,d8c8 -355,e8g8 -358,f5g6 -362,e6e4 -376,d8a8 -394,h7h5 -401,a6c7 -401,f5b1 -410,e8e7 -422,d8d7 -458,b7b6 -482,d8d6 -498,e8f8 -502,e6e2 -504,f5h3 -513,e6e5 -514,f5c2 -530,e6e7 -530,f5d3 -539,d8b8 -546,a6b4 -551,f5g4 -552,e6d6 -569,e6c4 -606,e6e3 -621,e6a2 -660,e6d5 -692"
QHZHE,8/3K4/3Qp3/3Pqk2/8/8/6n1/8 w - - 0 55,1972,0,f4e5 -469,+469,"d6e5 +469,d6e6 0,d5e6 0,d6f8 0,d6e7 -557,d7c6 -569,d7e7 -892,d7c7 -892,d6c6 -893,d6b6 -955,d6a3 -1090,d6a6 -8842,d6b4 -8842,d6c5 #-20,d6c7 #-14,d6b8 #-9,d7d8 #-6,d7c8 #-6,d7e8 #-4"
